,algorithm,support,confidence,cosine
0,mocsoarm,0.9432989690721649,1.0,0.9712357947852648
1,mopso,0.005154639175257732,1.0,1.0
2,mopso,0.5670103092783505,1.0,0.7530008693742329
3,mopso,0.8144329896907216,0.9404761904761905,0.901108115925054
4,nsgaii,0.4690721649484536,1.0,0.6848884324825859
5,nsgaii,0.6752577319587629,0.7939393939393941,0.8087806670128278
6,hmofaarm,0.9072164948453608,1.0,0.9524791309238018
7,mosaarm,0.5309278350515464,1.0,0.7286479500084705
8,mosaarm,0.8865979381443299,0.9662921348314607,0.9427523908960226
9,mowsaarm,0.10309278350515463,0.9523809523809523,0.6900655593423541
10,mowsaarm,0.3556701030927835,1.0,0.5963808372950824
11,mowsaarm,0.5,0.941747572815534,0.7373921009169296
12,mowsaarm,0.6804123711340206,0.9295774647887325,0.8571790013945819
13,mowsaarm,0.7164948453608248,0.8742138364779874,0.8504750887649581
14,mocatsoarm,0.005154639175257732,1.0,1.0
15,mocatsoarm,0.9432989690721649,1.0,0.9712357947852648
16,motlboarm,0.005154639175257732,1.0,1.0
17,motlboarm,0.8608247422680413,1.0,0.927806414220144
18,mofpaarm,0.9639175257731959,1.0,0.9817930157488368
19,moaloarm,0.22164948453608246,1.0,0.4707966488156882
20,moaloarm,0.28350515463917525,0.9821428571428572,0.5670404429540967
21,moaloarm,0.8144329896907216,0.9404761904761905,0.9136764790669694
22,modaarm,0.005154639175257732,1.0,1.0
23,modaarm,0.5670103092783505,1.0,0.7530008693742329
24,modaarm,0.845360824742268,0.9761904761904762,0.9537463156584326
25,mohsbotsarm,0.020618556701030927,1.0,1.0
26,mohsbotsarm,0.9639175257731959,1.0,0.9817930157488368
27,modearm,0.005154639175257732,1.0,1.0
28,modearm,0.9432989690721649,1.0,0.9712357947852648
29,nshsdearm,0.865979381443299,1.0,0.9305801316615884
30,nshsdearm,0.8917525773195877,0.9453551912568307,0.9453551912568307
31,mogeaarm,0.020618556701030927,1.0,1.0
32,mogeaarm,0.9639175257731959,1.0,0.9817930157488368
33,mogsaarm,0.8195876288659794,1.0,0.905310791312011
34,mogsaarm,0.8350515463917526,0.9642857142857143,0.9139860566994992
35,mossoarm,0.005154639175257732,1.0,1.0
36,mossoarm,0.04639175257731959,1.0,0.41602514716892186
37,mossoarm,0.15463917525773196,1.0,0.3932418788198072
38,mossoarm,0.20618556701030927,0.975609756097561,0.45682226176533697
39,mossoarm,0.35051546391752575,0.9577464788732394,0.6226229108117848
40,mossoarm,0.4072164948453608,0.8681318681318682,0.6242377969755013
41,mossoarm,0.8092783505154639,0.8579234972677596,0.8980817517134552
42,mowoaarm,0.9072164948453608,1.0,0.9524791309238018
43,mososarm,0.7319587628865979,1.0,0.8555458859036129
44,mososarm,0.845360824742268,0.9318181818181818,0.9537463156584326
45,mocssarm,0.005154639175257732,1.0,1.0
46,mocssarm,0.865979381443299,1.0,0.9305801316615884
