,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.9432989690721649,1.0,0.9712357947852648
2,mopso,0.8092783505154639,0.9345238095238095,0.9130376314534995
3,mopso,0.8247422680412371,1.0,0.9081532183729996
4,nsgaii,0.788659793814433,1.0,0.8880651968264678
5,hmofaarm,0.9072164948453608,1.0,0.9524791309238018
6,mosaarm,0.7628865979381443,1.0,0.8734337971123767
7,mosaarm,0.8350515463917526,0.8663101604278075,0.9139860566994992
8,mowsaarm,0.005154639175257732,1.0,0.3779644730092272
9,mowsaarm,0.08762886597938144,1.0,0.34123064950907267
10,mowsaarm,0.09278350515463918,1.0,0.31362502409359005
11,mowsaarm,0.24742268041237114,0.9600000000000002,0.49640418239521844
12,mowsaarm,0.35051546391752575,0.9577464788732394,0.6083078269198361
13,mowsaarm,0.4639175257731959,0.9473684210526316,0.6825825192602394
14,mowsaarm,0.7268041237113402,0.8392857142857142,0.8417947952625106
15,mowsaarm,0.7628865979381443,0.7914438502673796,0.8749740979903728
16,mocatsoarm,0.005154639175257732,1.0,0.5
17,mocatsoarm,0.22164948453608246,1.0,0.4707966488156882
18,mocatsoarm,0.26288659793814434,0.9807692307692308,0.5228088846667652
19,mocatsoarm,0.36597938144329895,0.9466666666666665,0.6060412316823742
20,mocatsoarm,0.6494845360824743,0.863013698630137,0.826981044505285
21,motlboarm,0.005154639175257732,1.0,1.0
22,motlboarm,0.30927835051546393,1.0,0.5725983343138682
23,motlboarm,0.4639175257731959,0.9473684210526316,0.6825825192602394
24,motlboarm,0.6752577319587629,0.9225352112676057,0.812646330416317
25,mofpaarm,0.865979381443299,0.9180327868852459,0.9308372098372173
26,mofpaarm,0.865979381443299,1.0,0.9305801316615884
27,moaloarm,0.09278350515463918,1.0,0.33646329245522655
28,moaloarm,0.8144329896907216,0.9404761904761905,0.901108115925054
29,modaarm,0.5309278350515464,1.0,0.7286479500084705
30,modaarm,0.6855670103092784,0.7964071856287425,0.8161967163635607
31,mohsbotsarm,0.8092783505154639,0.9345238095238095,0.9373176089093204
32,mohsbotsarm,0.8608247422680413,1.0,0.927806414220144
33,mohsbotsarm,0.8711340206185567,0.9602272727272727,0.9315572870713699
34,modearm,0.005154639175257732,1.0,1.0
35,modearm,0.2268041237113402,1.0,0.4762395654619009
36,modearm,0.28865979381443296,0.9655172413793103,0.5435612458252221
37,modearm,0.4484536082474227,0.9560439560439561,0.6669261605410549
38,modearm,0.6288659793814433,0.8591549295774649,0.7970281977006863
39,modearm,0.7268041237113402,0.8443113772455089,0.8417947952625106
40,nshsdearm,0.005154639175257732,1.0,0.7071067811865476
41,nshsdearm,0.09278350515463918,1.0,0.33646329245522655
42,nshsdearm,0.13402061855670103,0.9629629629629629,0.3860440160957241
43,nshsdearm,0.6752577319587629,0.8451612903225807,0.8738189232142418
44,nshsdearm,0.6752577319587629,0.9225352112676057,0.812646330416317
45,nshsdearm,0.7268041237113402,0.8867924528301887,0.8428770260011533
46,mogeaarm,0.788659793814433,1.0,0.8880651968264678
47,mogeaarm,0.8144329896907216,0.9404761904761905,0.901108115925054
48,mogeaarm,0.8298969072164949,0.8609625668449198,0.916564644224628
49,mogsaarm,0.8608247422680413,1.0,0.927806414220144
50,mossoarm,0.9175257731958762,1.0,0.957875656437659
51,mowoaarm,0.8608247422680413,1.0,0.927806414220144
52,mososarm,0.005154639175257732,1.0,1.0
53,mososarm,0.20103092783505155,1.0,0.4566794824957876
54,mososarm,0.8247422680412371,0.9580838323353292,0.9054009457618089
55,mocssarm,0.07731958762886598,1.0,0.2997004492513102
56,mocssarm,0.13402061855670103,0.9629629629629629,0.3871981113942676
57,mocssarm,0.25773195876288657,0.8928571428571428,0.5170323953694004
58,mocssarm,0.26804123711340205,0.5714285714285714,0.45268764990265
59,mocssarm,0.4948453608247423,0.5245901639344263,0.6992413068608262
