,algorithm,support,confidence,cosine
0,mocsoarm,0.5103092783505154,1.0,0.7143593481928514
1,mopso,0.005154639175257732,1.0,1.0
2,mopso,0.9432989690721649,1.0,0.9712357947852648
3,nsgaii,0.005154639175257732,1.0,0.7071067811865476
4,nsgaii,0.211340206185567,1.0,0.4597175286907897
5,nsgaii,0.520618556701031,0.9805825242718448,0.7459208732603513
6,nsgaii,0.845360824742268,0.9213483146067416,0.9265684601464158
7,hmofaarm,0.9639175257731959,1.0,0.9817930157488368
8,mosaarm,0.005154639175257732,1.0,1.0
9,mosaarm,0.865979381443299,1.0,0.9305801316615884
10,mowsaarm,0.21649484536082475,1.0,0.4652900658307942
11,mowsaarm,0.25257731958762886,0.9800000000000001,0.5346338310781813
12,mowsaarm,0.44329896907216493,0.945054945054945,0.6664264264186257
13,mowsaarm,0.5,0.5773809523809523,0.7373921009169296
14,mocatsoarm,0.36597938144329895,1.0,0.604962297538697
15,mocatsoarm,0.8092783505154639,0.9345238095238095,0.9373176089093204
16,motlboarm,0.20103092783505155,1.0,0.4483647263501574
17,motlboarm,0.6752577319587629,0.8972602739726028,0.8126150597542403
18,mofpaarm,0.005154639175257732,1.0,1.0
19,mofpaarm,0.9175257731958762,1.0,0.957875656437659
20,moaloarm,0.28865979381443296,1.0,0.5372706895173354
21,modaarm,0.005154639175257732,1.0,1.0
22,modaarm,0.18556701030927836,1.0,0.4307748951706429
23,modaarm,0.5670103092783505,0.9649122807017543,0.7615785693949839
24,mohsbotsarm,0.005154639175257732,1.0,1.0
25,mohsbotsarm,0.9639175257731959,1.0,0.9817930157488368
26,modearm,0.9432989690721649,1.0,0.9712357947852648
27,nshsdearm,0.005154639175257732,1.0,1.0
28,nshsdearm,0.7474226804123711,1.0,0.8645361070611055
29,nshsdearm,0.8608247422680413,0.9382022471910113,0.9252965121596147
30,mogeaarm,0.005154639175257732,1.0,1.0
31,mogeaarm,0.4381443298969072,1.0,0.6619247161852375
32,mogeaarm,0.7216494845360825,0.7486631016042781,0.850204171116233
33,mogsaarm,0.4690721649484536,1.0,0.6848884324825859
34,mogsaarm,0.8092783505154639,0.9401197604790419,0.8980817517134552
35,mossoarm,0.005154639175257732,1.0,1.0
36,mossoarm,0.9175257731958762,1.0,0.957875656437659
37,mowoaarm,0.865979381443299,1.0,0.9305801316615884
38,mososarm,0.7319587628865979,1.0,0.8555458859036129
39,mososarm,0.7577319587628866,0.8749999999999999,0.9109548340490977
40,mososarm,0.7628865979381443,0.9548387096774192,0.8693107757134001
41,mocssarm,0.005154639175257732,1.0,0.7071067811865476
42,mocssarm,0.12886597938144329,1.0,0.413802944301184
43,mocssarm,0.13917525773195877,1.0,0.37998029782867415
44,mocssarm,0.28350515463917525,0.9821428571428572,0.5670404429540967
45,mocssarm,0.8092783505154639,0.9345238095238095,0.9373176089093204
